V1,V2,V3
-125.675566343042,47.4066235864297,-1573.52270507812
-125.508414239482,47.4066235864297,-1534.27355957031
-125.341262135922,47.4066235864297,-1640.43359375
-125.174110032362,47.4066235864297,-1010.41357421875
-125.006957928803,47.4066235864297,-742.963562011719
-124.839805825243,47.4066235864297,-371.273559570312
-124.672653721683,47.4066235864297,-146.48356628418
-124.505501618123,47.4066235864297,-49.1042709350586
-124.338349514563,47.4066235864297,-23.8442726135254
-124.171197411003,47.4066235864297,48.1857261657715
-124.004045307443,47.4066235864297,89.2757263183594
-123.836893203884,47.4066235864297,177.335723876953
-123.669741100324,47.4066235864297,205.985733032227
-123.502588996764,47.4066235864297,220.425720214844
-123.335436893204,47.4066235864297,237.927627563477
-123.168284789644,47.4066235864297,78.1576232910156
-123.001132686084,47.4066235864297,56.137622833252
-122.833980582524,47.4066235864297,17.9076232910156
-122.666828478964,47.4066235864297,7.20762252807617
-122.499676375405,47.4066235864297,24.1176223754883
-122.332524271845,47.4066235864297,71.8003540039062
-122.165372168285,47.4066235864297,89.2803573608398
-121.998220064725,47.4066235864297,155.660354614258
-121.831067961165,47.4066235864297,705.010375976562
-121.663915857605,47.4066235864297,826.040344238281
-121.496763754045,47.4066235864297,933.080383300781
-121.329611650485,47.4066235864297,1006.09033203125
-121.162459546926,47.4066235864297,913.046875
-120.995307443366,47.4066235864297,910.636901855469
-120.828155339806,47.4066235864297,829.06689453125
-120.661003236246,47.4066235864297,1032.68688964844
-120.493851132686,47.4066235864297,1495.27685546875
-120.326699029126,47.4066235864297,1391.96691894531
-120.159546925566,47.4066235864297,894.235717773438
-119.992394822006,47.4066235864297,378.275756835938
-119.825242718447,47.4066235864297,504.365753173828
-119.658090614887,47.4066235864297,494.955749511719
-119.490938511327,47.4066235864297,392.625732421875
-119.323786407767,47.4066235864297,361.815734863281
-119.156634304207,47.4066235864297,425.546722412109
-118.989482200647,47.4066235864297,481.916717529297
-118.822330097087,47.4066235864297,512.836730957031
-118.655177993528,47.4066235864297,529.36669921875
-118.488025889968,47.4066235864297,579.876708984375
-118.320873786408,47.4066235864297,580.526733398438
-118.153721682848,47.4066235864297,596.726745605469
-117.986569579288,47.4066235864297,610.681762695312
-117.819417475728,47.4066235864297,654.0517578125
-117.652265372168,47.4066235864297,662.611755371094
-117.485113268608,47.4066235864297,686.461730957031
-117.317961165049,47.4066235864297,722.26171875
-117.150809061489,47.4066235864297,822.361755371094
-116.983656957929,47.4066235864297,826.560424804688
-116.816504854369,47.4066235864297,928.840454101562
-116.649352750809,47.4066235864297,954.200439453125
-116.482200647249,47.4066235864297,922.300415039062
-116.315048543689,47.4066235864297,984.040466308594
-116.147896440129,47.4066235864297,991.410461425781
-115.98074433657,47.4066235864297,1047.39038085938
-115.81359223301,47.4066235864297,1194.84460449219
-115.64644012945,47.4066235864297,1334.89453125
-115.47928802589,47.4066235864297,1409.724609375
-115.31213592233,47.4066235864297,1412.60461425781
-115.14498381877,47.4066235864297,1245.74462890625
-114.97783171521,47.4066235864297,1101.75463867188
-114.81067961165,47.4066235864297,1305.291015625
-114.643527508091,47.4066235864297,1526.32104492188
-114.476375404531,47.4066235864297,1442.99096679688
-114.309223300971,47.4066235864297,1230.76098632812
-114.142071197411,47.4066235864297,1028.78100585938
-113.974919093851,47.4066235864297,1626.291015625
-113.807766990291,47.4066235864297,1870.40881347656
-113.640614886731,47.4066235864297,1759.18884277344
-113.473462783172,47.4066235864297,1479.0888671875
-113.306310679612,47.4066235864297,2053.14892578125
-113.139158576052,47.4066235864297,2066.03881835938
-112.972006472492,47.4066235864297,1893.16882324219
-112.804854368932,47.4066235864297,2127.61889648438
-112.637702265372,47.4066235864297,1938.50659179688
-112.470550161812,47.4066235864297,1681.23657226562
-112.303398058252,47.4066235864297,1397.81665039062
-112.136245954693,47.4066235864297,1295.3466796875
-111.969093851133,47.4066235864297,1413.88659667969
-111.801941747573,47.4066235864297,1241.38659667969
-111.634789644013,47.4066235864297,1047.93701171875
-111.467637540453,47.4066235864297,1110.54699707031
-111.300485436893,47.4066235864297,1289.40698242188
-111.133333333333,47.4066235864297,1331.11706542969
-110.966181229773,47.4066235864297,1363.07702636719
-110.799029126214,47.4066235864297,1332.88696289062
-110.631877022654,47.4066235864297,1367.47082519531
-110.464724919094,47.4066235864297,1283.77075195312
-110.297572815534,47.4066235864297,1237.16076660156
-110.130420711974,47.4066235864297,1207.21081542969
-109.963268608414,47.4066235864297,1132.79077148438
-109.796116504854,47.4066235864297,1100.00085449219
-109.628964401295,47.4066235864297,1074.32080078125
-109.461812297735,47.4066235864297,1246.71936035156
-109.294660194175,47.4066235864297,1343.67944335938
-109.127508090615,47.4066235864297,1356.92944335938
-108.960355987055,47.4066235864297,1202.48937988281
-108.793203883495,47.4066235864297,1042.44934082031
-108.626051779935,47.4066235864297,951.319396972656
-108.458899676375,47.4066235864297,921.835021972656
-108.291747572816,47.4066235864297,889.795043945312
-108.124595469256,47.4066235864297,858.385009765625
-107.957443365696,47.4066235864297,779.1650390625
-107.790291262136,47.4066235864297,844.605041503906
-107.623139158576,47.4066235864297,886.755065917969
-107.455987055016,47.4066235864297,938.4150390625
-107.288834951456,47.4066235864297,894.677490234375
-107.121682847896,47.4066235864297,856.577514648438
-106.954530744337,47.4066235864297,845.307495117188
-106.787378640777,47.4066235864297,820.997497558594
-106.620226537217,47.4066235864297,826.247497558594
-106.453074433657,47.4066235864297,822.617492675781
-106.285922330097,47.4066235864297,769.929504394531
-106.118770226537,47.4066235864297,787.609497070312
